Time,Priority,Category,Message,Source,Destination,Notes,Rule
35:15.2,Info,Authenticated Access,Administrator logged out - inactivity timer expired,"192.168.4.8, 0, X4 (admin1)","192.168.10.1, 443, X0",,
35:15.2,Info,Authenticated Access,Configuration mode administration session ended,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1 at GUI from 192.168.4.8,
35:15.2,Info,Authenticated Access,GUI administration session ended,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1,
54:04.4,Alert,Intrusion Prevention,Possible port scan detected,"85.25.255.230, 5189, X1","216.151.17.13, 5066, X1","UDP scanned port list, 5061, 5062, 5063, 5064, 5065",
54:04.4,Alert,Intrusion Prevention,Probable port scan detected,"85.25.255.230, 5189, X1","216.151.17.13, 5070, X1","UDP scanned port list, 5061, 5062, 5063, 5064, 5065, 5066, 5067, 5068, 5069, 5070",
11:40.6,Info,Authenticated Access,Administrator login allowed,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4","admin1, TCP HTTPS",
11:40.6,Info,Authenticated Access,Configuration mode administration session started,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1 at GUI from 192.168.4.8,
18:29.7,Info,Authenticated Access,Administrator logged out - inactivity timer expired,"192.168.4.8, 0, X4 (admin1)","192.168.10.1, 443, X0",,
18:29.7,Info,Authenticated Access,Configuration mode administration session ended,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1 at GUI from 192.168.4.8,
18:29.7,Info,Authenticated Access,GUI administration session ended,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1,
56:12.8,Info,Authenticated Access,Administrator login allowed,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4","admin1, TCP HTTPS",
56:12.8,Info,Authenticated Access,Configuration mode administration session started,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1 at GUI from 192.168.4.8,
59:34.5,Error,Firewall Event,Interface X5 Link Is Down,,,,
59:36.2,Warning,Firewall Event,Interface X5 Link Is Up,,,,
59:39.1,Error,Firewall Event,Interface X5 Link Is Down,,,,
59:41.5,Warning,Firewall Event,Interface X5 Link Is Up,,,,
02:06.7,Error,Firewall Event,Interface X5 Link Is Down,,,,
02:09.0,Warning,Firewall Event,Interface X5 Link Is Up,,,,
08:07.8,Alert,Intrusion Prevention,Possible port scan detected,"5.104.226.13, 5061, X1","216.151.17.13, 5080, X1","UDP scanned port list, 5060, 5050, 5059, 5061, 5070",
07:14.4,Info,Authenticated Access,Administrator logged out - inactivity timer expired,"192.168.4.8, 0, X4 (admin1)","192.168.10.1, 443, X0",,
07:14.4,Info,Authenticated Access,Configuration mode administration session ended,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1 at GUI from 192.168.4.8,
07:14.4,Info,Authenticated Access,GUI administration session ended,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1,
00:18.5,Alert,Intrusion Prevention,Possible port scan detected,"222.186.21.70, 77, X1","216.151.17.13, 808, X1","TCP scanned port list, 8080, 8118, 9064, 9999, 9797",
00:52.4,Alert,Intrusion Prevention,Probable port scan detected,"222.186.21.70, 77, X1","216.151.17.13, 9000, X1","TCP scanned port list, 8080, 8118, 9064, 9999, 9797, 808, 1234, 37564, 8088, 9000",
18:19.8,Alert,Authenticated Access,Administrator login denied due to bad credentials,"192.168.4.8, 0, X4","192.168.4.1, 443, X4","admin1, TCP HTTPS",
18:38.1,Info,Authenticated Access,Administrator login allowed,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4","admin1, TCP HTTPS",
18:38.1,Info,Authenticated Access,Configuration mode administration session started,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1 at GUI from 192.168.4.8,
14:59.3,Info,Authenticated Access,Administrator logged out - inactivity timer expired,"192.168.4.8, 0, X4 (admin1)","192.168.10.1, 443, X0",,
14:59.3,Info,Authenticated Access,Configuration mode administration session ended,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1 at GUI from 192.168.4.8,
14:59.3,Info,Authenticated Access,GUI administration session ended,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1,
21:44.2,Error,Firewall Event,Interface X4 Link Is Down,,,,
21:46.2,Warning,Firewall Event,Interface X4 Link Is Up,,,,
22:39.6,Error,Firewall Event,Interface X4 Link Is Down,,,,
22:41.5,Warning,Firewall Event,Interface X4 Link Is Up,,,,
22:50.0,Error,Firewall Event,Interface X4 Link Is Down,,,,
22:51.8,Warning,Firewall Event,Interface X4 Link Is Up,,,,
23:22.7,Error,Firewall Event,Interface X4 Link Is Down,,,,
23:24.9,Warning,Firewall Event,Interface X4 Link Is Up,,,,
24:06.5,Error,Firewall Event,Interface X4 Link Is Down,,,,
24:08.4,Warning,Firewall Event,Interface X4 Link Is Up,,,,
40:39.6,Info,Authenticated Access,Administrator login allowed,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4","admin1, TCP HTTPS",
40:39.6,Info,Authenticated Access,Configuration mode administration session started,"192.168.4.8, 0, X4 (admin1)","192.168.4.1, 443, X4",admin1 at GUI from 192.168.4.8,
